Sequence Id,Country,ethnic_info,structure_population
ST1,New Zealand,Maori,hpEurope
ST2,New Zealand,Samoan,hpEurope
ST3,New Zealand,Samoan,hpEurope
ST4,New Zealand,Maori,hspMaori
ST5,New Zealand,Maori,hspMaori
ST6,New Zealand,Maori,hspMaori
ST7,New Zealand,Maori,hspMaori
ST8,New Zealand,Maori,hspMaori
ST9,New Zealand,Maori,hspMaori
ST10,New Zealand,Tongan,hspMaori
ST11,New Zealand,Tongan,hspMaori
ST12,New Zealand,Maori,hspMaori
ST13,New Zealand,Maori,hspMaori
ST14,New Zealand,Samoan,hspMaori
ST15,New Zealand,Maori,hspMaori
ST16,New Zealand,Samoan,hspMaori
ST17,New Zealand,Maori,hspMaori
ST18,New Zealand,Maori,hspMaori
ST19,New Zealand,Samoan,hspMaori
ST20,New Zealand,Maori,hspMaori
ST21,New Zealand,Samoan,hspMaori
ST22,New Zealand,Maori,hspMaori
ST23,New Zealand,Samoan,hspMaori
ST24,New Zealand,Samoan,hspMaori
ST25,New Zealand,Maori,hspMaori
ST26,New Zealand,Maori,hspMaori
ST27,New Zealand,Maori,hspWAfrica1
ST28,New Zealand,Maori,hspWAfrica1
ST29,Australia,-,hpEurope
ST30,Australia,-,hpEurope
ST31,Australia,-,hpEurope
ST32,China,-,hspEAsia
ST33,Singapore,-,hpEurope
ST34,Singapore,-,hpEurope
ST35,Singapore,-,hspEAsia
ST36,Singapore,-,hspEAsia
ST37,Singapore,-,hspEAsia
ST38,Singapore,-,hspEAsia
ST39,Singapore,-,hspEAsia
ST40,Singapore,-,hspEAsia
ST41,Singapore,-,hspEAsia
ST42,Singapore,-,hspEAsia
ST42,Singapore,-,hspEAsia
ST43,Singapore,-,hspEAsia
ST44,Japan,-,hspEAsia
ST45,Korea,-,hspEAsia
ST46,Korea,-,hspEAsia
ST47,Korea,-,hspEAsia
ST48,Korea,-,hspEAsia
ST49,Korea,-,hspEAsia
ST50,Korea,-,hspEAsia
ST51,Korea,-,hspEAsia
ST52,Korea,-,hspEAsia
ST53,Korea,-,hspEAsia
ST54,Korea,-,hspEAsia
ST55,Korea,-,hspEAsia
ST56,Hong Kong,-,hspEAsia
ST57,India,Muslim,hpEurope
ST58,India,Muslim,hpEurope
ST59,India,Muslim,hpEurope
ST60,India,Muslim,hpEurope
ST61,India,Muslim,hpEurope
ST62,India,Muslim,hpEurope
ST63,India,Muslim,hpEurope
ST64,India,Muslim,hpEurope
ST65,India,Muslim,hpEurope
ST66,India,Muslim,hpEurope
ST67,India,Muslim,hpEurope
ST68,India,Muslim,hpEurope
ST69,India,Muslim,hpEurope
ST70,India,Muslim,hpEurope
ST71,India,Muslim,hpEurope
ST72,India,Muslim,hpEurope
ST73,India,Muslim,hpEurope
ST74,Thailand,-,hpEurope
ST75,Thailand,-,hspEAsia
ST76,Israel,Russian/Jewish,hpEurope
ST77,Israel,Yemen/Jewish,hpEurope
ST78,Israel,Palaestinian,hpEurope
ST79,Israel,Yemen/Jewish,hpEurope
ST80,Israel,Russian/Jewish,hpEurope
ST81,Estonia,-,hpEurope
ST82,Estonia,-,hpEurope
ST83,Estonia,-,hpEurope
ST84,Estonia,-,hpEurope
ST85,Estonia,-,hpEurope
ST86,Estonia,-,hpEurope
ST87,Estonia,-,hpEurope
ST88,Estonia,-,hpEurope
ST89,Estonia,-,hpEurope
ST90,Estonia,-,hpEurope
ST91,Estonia,-,hpEurope
ST92,Finland,-,hpEurope
ST93,Finland,-,hpEurope
ST94,Finland,-,hpEurope
ST95,Finland,-,hpEurope
ST96,Finland,-,hpEurope
ST97,Finland,-,hpEurope
ST98,Finland,-,hpEurope
ST99,Finland,-,hpEurope
ST100,Finland,-,hpEurope
ST101,France,-,hpEurope
ST102,Germany,-,hpEurope
ST103,Germany,-,hpEurope
ST104,Germany,-,hpEurope
