Sequence Id,State,Region
A/Alaska/04/2009,Alaska,West
A/Arizona/01/2009,Arizona,West
A/Arizona/02/2009,Arizona,West
A/Arizona/03/2009,Arizona,West
A/Arizona/04/2009,Arizona,West
A/Arizona/06/2009,Arizona,West
A/Arizona/09/2009,Arizona,West
A/Arkansas/03/2009,Arkansas,South
A/Brawley/40081/2009,California,West
A/Brawley/40082/2009,California,West
A/California/04/2009,California,West
A/California/05/2009,California,West
A/California/06/2009,California,West
A/California/07/2009,California,West
A/California/08/2009,California,West
A/California/10/2009,California,West
A/California/11/2009,California,West
A/California/12/2009,California,West
A/California/13/2009,California,West
A/California/14/2009,California,West
A/California/17/2009,California,West
A/California/18/2009,California,West
A/California/19/2009,California,West
A/California/20/2009,California,West
A/California/24/2009,California,West
A/California/25/2009,California,West
A/California/27/2009,California,West
A/Colorado/03/2009,Colorado,West
A/Colorado/04/2009,Colorado,West
A/District_of_Columbia/01/2009,DC,South
A/District_of_Columbia/02/2009,DC,South
A/District_of_Columbia/03/2009,DC,South
A/Delaware/02/2009,Delaware,South
A/Delaware/03/2009,Delaware,South
A/Delaware/04/2009,Delaware,South
A/Delaware/05/2009,Delaware,South
A/Delaware/06/2009,Delaware,South
A/Delaware/07/2009,Delaware,South
A/Delaware/08/2009,Delaware,South
A/Florida/04/2009,Florida,South
A/Florida/09/2009,Florida,South
A/Florida/11/2009,Florida,South
A/Georgia/01/2009,Georgia,South
A/Hawaii/09/2009,Hawaii,West
A/Idaho/02/2009,Idaho,West
A/Illinois/01/2009,Illinois,Midwest
A/Illinois/04/2009,Illinois,Midwest
A/Indiana/09/2009,Indiana,Midwest
A/Indiana/12/2009,Indiana,Midwest
A/Iowa/04/2009,Iowa,Midwest
A/Kansas/02/2009,Kansas,Midwest
A/Kansas/03/2009,Kansas,Midwest
A/Kentucky/05/2009,Kentucky,South
A/Kentucky/06/2009,Kentucky,South
A/Kentucky/07/2009,Kentucky,South
A/Louisiana/02/2009,Louisiana,South
A/Louisiana/03/2009,Louisiana,South
A/Louisiana/04/2009,Louisiana,South
A/Louisiana/05/2009,Louisiana,South
A/Maine/03/2009,Maine,Northeast
A/Bethesda/SP506/2009,Maryland,South
A/Bethesda/SP508/2009,Maryland,South
A/Maryland/05/2009,Maryland,South
A/Silver_Spring/SP509/2009,Maryland,South
A/Silver_Spring/SP510/2009,Maryland,South
A/Massachusetts/06/2009,Massachusetts,Northeast
A/Massachusetts/07/2009,Massachusetts,Northeast
A/Massachusetts/08/2009,Massachusetts,Northeast
A/Michigan/02/2009,Michigan,Midwest
A/Michigan/04/2009,Michigan,Midwest
A/Michigan/05/2009,Michigan,Midwest
