Sequence Id,Sample Id,Location,Location+Start
AAO14677.1.outgroup,Outgroup,X,X
DQ203488.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203484.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203483.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203482.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203481.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203478.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203475.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203464.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203463.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203462.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203461.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203458.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203456.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203450.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203448.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203447.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203446.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203439.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203438.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203435.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203432.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203430.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203429.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203427.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203425.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203422.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203421.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203419.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203418.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203417.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203415.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203412.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203411.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203409.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203408.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203407.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203402.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203401.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203399.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203397.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203396.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203393.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203386.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203382.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203380.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203379.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203377.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203375.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203374.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203372.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203371.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203366.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203361.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203359.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203358.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203356.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203355.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203354.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203353.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203352.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203351.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203349.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203348.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203346.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203344.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203343.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203342.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203340.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203487.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203486.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203485.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203480.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203479.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203477.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203476.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203474.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203473.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203472.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203471.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203470.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203469.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203468.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203467.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203466.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203465.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203460.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203459.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203457.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203455.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203454.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203453.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203452.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203451.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203449.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203445.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203444.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203443.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203442.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203441.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203440.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203437.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203436.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203434.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203433.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203431.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203428.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203426.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203424.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203423.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203420.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203416.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203414.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203413.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203410.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203406.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203405.1,Med0_May03,Mediterranean Sea,Med-Strat
