Sequence Id,Year,Month,Day,Season
A/NewYork/2782/2004,2004,NA,NA,NA
A/NewYork/55/2004-2,2004,NA,NA,NA
A/NewYork/55/2001,2001,NA,NA,NA
A/NewYork/61A/2003,2003,12,20,Winter
A/NewYork/28/2003,2003,11,19,Winter
A/NewYork/30/2003,2003,12,2,Winter
A/NewYork/32/2003,2003,11,29,Winter
A/NewYork/33/2004,2004,1,9,Winter
A/NewYork/34/2003,2003,12,3,Winter
A/NewYork/35/2003,2003,12,4,Winter
A/NewYork/36/2003,2003,12,10,Winter
A/NewYork/45/2003,2003,12,9,Winter
A/NewYork/47/2003,2003,12,12,Winter
A/NewYork/48/2003,2003,12,9,Winter
A/NewYork/50/2003,2003,12,8,Winter
A/NewYork/54/2003,2003,12,10,Winter
A/NewYork/60A/2003,2003,12,15,Winter
A/NewYork/110/2002,2002,1,29,Winter
A/NewYork/12/2003,2003,12,13,Winter
A/NewYork/16/2003,2003,11,11,Winter
A/NewYork/26/2003,2003,12,2,Winter
A/NewYork/40/2003,2003,12,4,Winter
A/NewYork/41/2003,2003,12,8,Winter
A/NewYork/42/2003,2003,12,8,Winter
A/NewYork/43/2003,2003,12,10,Winter
A/NewYork/44/2003,2003,12,8,Winter
A/NewYork/83/2001,2001,12,15,Winter
A/NewYork/23/2003,2003,12,16,Winter
A/NewYork/84/2001,2001,12,29,Winter
A/NewYork/91/2002,2002,1,17,Winter
A/NewYork/95/2002,2002,2,26,Winter
A/NewYork/100/2002,2002,1,22,Winter
A/NewYork/113/2002,2002,1,31,Winter
A/NewYork/121/2002,2002,2,26,Winter
A/NewYork/19/2003,2003,12,18,Winter
A/NewYork/52/2004,2004,2,5,Winter
A/NewYork/53/2003,2003,12,11,Winter
A/NewYork/82/2001,2001,12,26,Winter
A/NewYork/86/2002,2002,3,1,Winter
A/NewYork/92/2002,2002,1,18,Winter
A/NewYork/96/2002,2002,1,18,Winter
A/NewYork/124/2001,2001,11,27,Winter
A/NewYork/129/2002,2002,2,12,Winter
A/NewYork/131/2001,2001,12,23,Winter
A/NewYork/133/2002,2002,2,6,Winter
A/NewYork/135/2002,2002,2,14,Winter
A/NewYork/15/2003,2003,11,12,Winter
A/NewYork/21/2003,2003,11,26,Winter
A/NewYork/22/2003,2003,12,2,Winter
A/NewYork/31/2004,2004,1,5,Winter
A/NewYork/49/2003,2003,12,18,Winter
A/NewYork/85/2001,2001,12,31,Winter
A/NewYork/87/2002,2002,1,8,Winter
A/NewYork/89/2002,2002,1,12,Winter
A/NewYork/90/2002,2002,2,6,Winter
A/NewYork/103/2002,2002,1,25,Winter
A/NewYork/128/2002,2002,1,25,Winter
A/NewYork/132/2002,2002,1,27,Winter
A/NewYork/134/2002,2002,1,4,Winter
A/NewYork/149/1999,1999,11,29,Winter
A/NewYork/150/2000,2000,1,28,Winter
A/NewYork/2/2003,2003,10,27,Winter
A/NewYork/71/2001,2001,11,22,Winter
A/NewYork/106/2002,2002,1,20,Winter
A/NewYork/108/2002,2002,1,31,Winter
A/NewYork/4/2003,2003,12,8,Winter
A/NewYork/11/2003,2003,10,31,Winter
A/NewYork/29/2003,2003,12,12,Winter
A/NewYork/109/2002,2002,1,30,Winter
A/NewYork/114/2002,2002,3,5,Winter
A/NewYork/115/2002,2002,2,7,Winter
A/NewYork/116/2002,2002,1,30,Winter
A/NewYork/69/2004,2004,1,6,Winter
A/NewYork/80/2001,2001,12,26,Winter
A/NewYork/127/2001,2001,12,31,Winter
A/NewYork/130/2002,2002,3,11,Winter
A/NewYork/147/1999,1999,11,23,Winter
A/NewYork/151/1999,1999,12,4,Winter
A/NewYork/154/2000,2000,1,24,Winter
A/NewYork/161/1999,1999,12,16,Winter
A/NewYork/120/2002,2002,2,19,Winter
A/NewYork/143/1999,1999,11,26,Winter
A/NewYork/163/1999,1999,12,22,Winter
A/NewYork/167/1999,1999,12,30,Winter
A/NewYork/169/2000,2000,1,3,Winter
A/NewYork/170/2000,2000,1,5,Winter
A/NewYork/171/1999,1999,12,30,Winter
A/NewYork/172/1999,1999,12,26,Winter
A/NewYork/173/2000,2000,2,2,Winter
A/NewYork/174/2000,2000,1,4,Winter
A/NewYork/175/2000,2000,1,6,Winter
A/NewYork/176/2000,2000,3,1,Winter
A/NewYork/177/1999,1999,10,25,Winter
A/NewYork/179/1999,1999,11,24,Winter
A/NewYork/180/2000,2000,2,9,Winter
A/NewYork/185/1999,1999,12,25,Winter
A/NewYork/192/2003,2003,2,4,Winter
A/NewYork/10/2004,2004,1,30,Winter
A/NewYork/25/2003,2003,12,16,Winter
A/NewYork/38/2003,2003,12,21,Winter
A/NewYork/46/2003,2003,12,9,Winter
A/NewYork/117/2002,2002,2,1,Winter
A/NewYork/141/1999,1999,11,9,Winter
A/NewYork/166/1999,1999,12,24,Winter
A/NewYork/148/2000,2000,2,9,Winter
A/NewYork/157/1999,1999,12,15,Winter
A/NewYork/158/2000,2000,1,17,Winter
A/NewYork/168/2000,2000,1,3,Winter
A/NewYork/178/2000,2000,2,29,Winter
A/NewYork/186/1999,1999,12,24,Winter
A/NewYork/193/2003,2003,2,19,Winter
A/NewYork/194/2003,2003,2,5,Winter
A/NewYork/3/2003,2003,12,10,Winter
A/NewYork/5/2004,2004,1,6,Winter
A/NewYork/13/2003,2003,11,12,Winter
A/NewYork/14/2003,2003,12,3,Winter
A/NewYork/62A/2003,2003,12,19,Winter
A/NewYork/93/2002,2002,2,19,Winter
A/NewYork/111/2002,2002,2,4,Winter
A/NewYork/119/2002,2002,1,29,Winter
A/NewYork/55/2003,2003,12,10,Winter
A/NewYork/59/2003,2003,12,16,Winter
A/NewYork/64/2003,2003,12,26,Winter
A/NewYork/67/2003,2003,12,29,Winter
A/NewYork/160/2000,2000,1,3,Winter
A/NewYork/138/1999,1999,10,3,Winter
A/NewYork/165/2000,2000,1,18,Winter
A/NewYork/189/1999,1999,12,20,Winter
A/NewYork/198/2003,2003,3,8,Winter
A/NewYork/1/2003,2003,10,28,Winter
A/NewYork/6/2004,2004,1,6,Winter
A/NewYork/7/2003,2003,10,31,Winter
A/NewYork/8/2003,2003,12,29,Winter
A/NewYork/17/2003,2003,11,16,Winter
A/NewYork/18/2003,2003,12,1,Winter
A/NewYork/51/2003,2003,12,10,Winter
A/NewYork/88/2002,2002,2,26,Winter
A/NewYork/99/2002,2002,1,23,Winter
A/NewYork/24/2003,2003,12,1,Winter
A/NewYork/39/2003,2003,12,4,Winter
A/NewYork/101/2002,2002,2,4,Winter
A/NewYork/27/2003,2003,10,28,Winter
A/NewYork/137/1999,1999,10,4,Winter
A/NewYork/105/2002,2002,2,5,Winter
A/NewYork/152/2000,2000,1,18,Winter
A/NewYork/107/2002,2002,1,16,Winter
A/NewYork/74/2002,2002,1,19,Winter
A/NewYork/202/2003,2003,4,5,Summer
A/NewYork/94/2001,2001,12,25,Winter
A/NewYork/181/1999,1999,12,5,Winter
A/NewYork/104/2002,2002,1,17,Winter
A/NewYork/122/2002,2002,3,21,Winter
A/NewYork/56/2003,2003,12,16,Winter
A/NewYork/63/2003,2003,12,29,Winter
A/NewYork/65/2003,2003,12,29,Winter
A/NewYork/70/2004,2004,1,6,Winter
A/NewYork/136/2002,2002,3,19,Winter
A/NewYork/162/2000,2000,2,9,Winter
A/NewYork/199/2003,2003,3,21,Winter
A/NewYork/81/2002,2002,2,19,Winter
A/NewYork/164/1999,1999,12,27,Winter
A/NewYork/182/2000,2000,2,18,Winter
A/NewYork/9/2003,2003,10,31,Winter
A/NewYork/37/2003,2003,12,4,Winter
A/NewYork/75/2002,2002,2,12,Winter
A/NewYork/97/2002,2002,2,13,Winter
A/NewYork/102/2002,2002,1,23,Winter
A/NewYork/112/2002,2002,1,29,Winter
A/NewYork/118/2002,2002,1,30,Winter
A/NewYork/66/2003,2003,12,23,Winter
A/NewYork/139/1999,1999,12,4,Winter
A/NewYork/183/1999,1999,12,1,Winter
A/NewYork/187/2000,2000,1,27,Winter
A/NewYork/201/2003,2003,4,10,Summer
A/NewYork/145/1999,1999,11,9,Winter
A/NewYork/156/2000,2000,1,5,Winter
A/NewYork/213/2003,2003,4,22,Summer
A/NewYork/263/1999,1999,2,10,Winter
A/NewYork/20/2003,2003,12,1,Winter
A/NewYork/76/2002,2002,1,11,Winter
A/NewYork/125/2002,2002,1,14,Winter
A/NewYork/155/1999,1999,12,7,Winter
A/NewYork/184/1999,1999,12,20,Winter
A/NewYork/195/2003,2003,2,18,Winter
A/NewYork/203/2003,2003,5,7,Summer
A/NewYork/240/1998,1998,12,28,Winter
A/NewYork/249/1998,1998,12,12,Winter
A/NewYork/250/1998,1998,12,12,Winter
A/NewYork/247/1998,1998,11,2,Winter
A/NewYork/58/2003,2003,12,16,Winter
A/NewYork/142/2000,2000,2,6,Winter
A/NewYork/188/1999,1999,12,13,Winter
A/NewYork/196/2003,2003,2,19,Winter
A/NewYork/197/2003,2003,3,14,Winter
A/NewYork/215/2003,2003,4,22,Summer
A/NewYork/216/2003,2003,4,22,Summer
A/NewYork/224/1998,1998,12,28,Winter
A/NewYork/253/1999,1999,3,26,Winter
A/NewYork/256/1998,1998,12,30,Winter
A/NewYork/259/1999,1999,2,2,Winter
A/NewYork/262/1999,1999,1,25,Winter
